@RELATION MSCorpus

@ATTRIBUTE attribute_3 {Focalization,NA,foc}
@ATTRIBUTE attribute_4 {B,NA,Perspective}
@ATTRIBUTE attribute_5 {Contrast,Insistence,NA,Repetition,StrongFeelings,detEmphasis}
@ATTRIBUTE attribute_6 {E,Emphasis,NA}
@ATTRIBUTE attribute_7 {NA,NoImage}
@ATTRIBUTE attribute_8 {NA,Rh,S,SP,Th,Them_level1,_,question}
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,NA,NA,NA,NA,preparation,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,NA,NA,NA,preparation,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,NA,NA,NA,preparation,question,question,question,NA
NA,NA,StrongFeelings,E,NA,question,NA,NA,NA,SV,SV,SN,NA,NA,stroke,question,question,question,beat
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,SN,NA,NA,relax,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,SN,SPrep,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,SN,SPrep,SN,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SN,NA,NA,NA,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SN,NA,NA,NA,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,SP,SP,NA,NA,interjection,NA,NA,NA,NA,preparation,SP(SP),SP(SP),SP(SP),semantic
NA,NA,NA,NA,NA,SP,Rh,NA,NA,SV,NA,NA,NA,NA,preparation,Rh(SP),Rh(SP),Rh(SP),semantic
NA,NA,NA,NA,NA,SP,Rh,NA,NA,SV,NA,NA,NA,NA,preparation,Rh(SP),Rh(SP),Rh(SP),semantic
NA,NA,NA,NA,NA,SP,Rh,NA,NA,SV,NA,NA,NA,NA,preparation,Rh(SP),Rh(SP),Rh(SP),semantic
NA,NA,NA,NA,NA,SP,Rh,NA,NA,SV,NA,NA,NA,NA,preparation,Rh(SP),Rh(SP),Rh(SP),semantic
NA,NA,NA,NA,NA,SP,Rh,NA,NA,SV,SPrep,NA,NA,NA,preparation,Rh(SP),Rh(SP),Rh(SP),semantic
NA,NA,NA,NA,NA,SP,Rh,NA,NA,SV,SPrep,NA,NA,NA,preparation,Rh(SP),Rh(SP),Rh(SP),semantic
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,NA,NA,NA,NA,NA,Th,Th,Th,beat
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,NA,NA,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,NA,NA,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,SN,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SV,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SN,SAdj,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SPrep,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SPrep,SN,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,StrongFeelings,E,NA,Rh,Rh,NA,NA,SV,SV,SN,NA,NA,stroke,Rh(Rh),Rh(Rh),Rh(Rh),semantic
NA,NA,StrongFeelings,E,NA,Rh,Rh,NA,NA,SV,SV,SN,NA,NA,stroke,Rh(Rh),Rh(Rh),Rh(Rh),semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,conj,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SN,NA,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SN,NA,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SN,SAdj,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SN,SPrep,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SN,SPrep,SN,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SN,SPrep,SN,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,SN,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,SN,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,SN,SAdj,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SV,SPrep,NA,NA,NA,NA,Th,Th,Th,NA
NA,NA,StrongFeelings,E,NA,Th,NA,NA,NA,SV,SPrep,SN,NA,NA,stroke,Th,Th,Th,beat
NA,NA,NA,NA,NA,Th,NA,NA,NA,SV,SPrep,SN,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SV,SPrep,SN,SPrep,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SV,SPrep,SN,SPrep,SN,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SV,SN,NA,NA,NA,stroke,SP,SP,SP,beat
NA,NA,NA,NA,NA,SP,NA,NA,NA,SV,SN,NA,NA,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,StrongFeelings,E,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,stroke,Rh,Rh,Rh,beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,SN,SAdj,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,SN,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SPrep,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SPrep,SN,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SPrep,SN,NA,NA,preparation,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,preparation,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,preparation,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,preparation,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,preparation,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SPrep,NA,NA,NA,NA,NA,SP(Rh),SP(Rh),SP(Rh),beat
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SPrep,SN,NA,NA,NA,NA,SP(Rh),SP(Rh),SP(Rh),NA
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SPrep,SN,NA,NA,NA,NA,SP(Rh),SP(Rh),SP(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,NA,NA,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,NA,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SAdv,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SAdv,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,SAdj,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,NA,NA,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,SN,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,SN,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,SN,SPrep,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPrep,SN,SPrep,SN,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,question,NA,NA,NA,NA,NA,NA,NA,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,NA,NA,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,NA,NA,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,NA,NA,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,SN,NA,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,SN,NA,NA,NA,question,question,question,beat
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,SN,NA,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,SV,SV,SN,SPrep,NA,NA,question,question,question,NA
NA,NA,NA,NA,NA,question,NA,NA,NA,NA,SV,SN,SPrep,SN,preparation,question,question,question,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,conj,NA,NA,NA,NA,preparation,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,Rh,NA,NA,SV,NA,NA,NA,NA,preparation,Rh(SP),Rh(SP),Rh(SP),NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SV,SPrep,NA,NA,NA,stroke,Th,Th,Th,beat
NA,NA,NA,NA,NA,Th,NA,NA,NA,SV,SPrep,SPron,NA,NA,stroke,Th,Th,Th,beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,StrongFeelings,E,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,SN,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA,NA,NA,_,_,_,NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SN,SAdj,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SN,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SPrep,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SPrep,SN,NA,NA,NA,preparation,SP(Rh),SP(Rh),SP(Rh),NA
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SPrep,SN,NA,NA,NA,stroke,SP(Rh),SP(Rh),SP(Rh),beat
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SPrep,conj,NA,NA,NA,NA,SP(Rh),SP(Rh),SP(Rh),NA
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SPrep,SN,NA,NA,NA,NA,SP(Rh),SP(Rh),SP(Rh),NA
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SPrep,SN,NA,NA,NA,stroke,SP(Rh),SP(Rh),SP(Rh),beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,NA,NA,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,NA,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SAdj,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SPrep,NA,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SPrep,SN,NA,NA,NA,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SPrep,SN,NA,NA,preparation,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SV,NA,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SV,SPrep,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SV,SPrep,SN,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SN,SV,SPrep,SN,NA,stroke,Th(Rh),Th(Rh),Th(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,stroke,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,NA,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,SPrep,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,SPrep,SN,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,stroke,Rh,Rh,Rh,beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,stroke,Rh,Rh,Rh,beat
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,conj,NA,NA,NA,relax,Rh,Rh,Rh,NA
NA,B,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SPrep,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,B,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SPrep,SPron,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Th,NA,NA,SV,SV,SPron,NA,NA,stroke,Th(Rh),Th(Rh),Th(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,NA,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,NA,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,NA,NA,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA,NA,NA,_,_,_,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SV,SPrep,NA,NA,NA,stroke,Th,Th,Th,beat
NA,NA,NA,NA,NoImage,Th,NA,NA,NA,SV,SPrep,SN,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NoImage,Th,NA,NA,NA,SV,SPrep,SN,SPrep,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NoImage,Th,NA,NA,NA,SV,SPrep,SN,SPrep,SN,NA,Th,Th,Th,NA
NA,NA,NA,NA,NoImage,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NoImage,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NoImage,Rh,NA,NA,NA,SV,NA,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NoImage,Rh,NA,NA,NA,SV,SN,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NoImage,Rh,NA,NA,NA,SV,SN,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NoImage,Rh,NA,NA,NA,SV,SN,NA,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,NA,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,NA,NA,NA,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,SN,NA,NA,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,SN,SPrep,NA,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SPrep,SN,NA,NA,Rh,Rh,Rh,semantic
NA,NA,NA,NA,NA,SP,NA,NA,NA,SAdv,NA,NA,NA,NA,preparation,SP,SP,SP,NA
NA,NA,NA,NA,NA,Th,Th,NA,NA,SPron,NA,NA,NA,NA,stroke,Th(Th),Th(Th),Th(Th),semantic
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPron,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,conj,NA,NA,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,Th,NA,SV,SN,NA,NA,NA,preparation,Rh(Rh),Th(Rh(Rh)),Th(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,Th,NA,SV,SN,NA,NA,NA,stroke,Rh(Rh),Th(Rh(Rh)),Th(Rh(Rh)),semantic
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,SV,NA,NA,NA,stroke,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),semantic
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,SV,SN,NA,NA,stroke,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),semantic
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,SV,SN,NA,NA,stroke,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),semantic
NA,NA,NA,NA,NA,Rh,SP,NA,NA,conj,NA,NA,NA,NA,preparation,SP(Rh),SP(Rh),SP(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SPron,NA,NA,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,conj,NA,NA,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,NA,NA,NA,stroke,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,SP,NA,NA,NA,conj,NA,NA,NA,NA,NA,SP,SP,SP,NA
NA,NA,StrongFeelings,E,NA,Rh,NA,NA,NA,SV,NA,NA,NA,NA,stroke,Rh,Rh,Rh,beat
NA,NA,NA,NA,NA,Rh,SP,NA,NA,conj,NA,NA,NA,NA,NA,SP(Rh),SP(Rh),SP(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,NA,NA,NA,preparation,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SN,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,NA,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,SP,NA,SAdv,NA,NA,NA,NA,preparation,Rh(Rh),SP(Rh(Rh)),SP(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,SP,NA,SAdv,SPron,NA,NA,NA,stroke,Rh(Rh),SP(Rh(Rh)),SP(Rh(Rh)),beat
NA,NA,NA,NA,NA,Rh,Rh,SP,NA,SAdv,NA,NA,NA,NA,NA,Rh(Rh),SP(Rh(Rh)),SP(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,SP,NA,SAdv,SPron,NA,NA,NA,NA,Rh(Rh),SP(Rh(Rh)),SP(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,SP,NA,SAdv,SPron,SN,NA,NA,NA,Rh(Rh),SP(Rh(Rh)),SP(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,SP,NA,SAdv,SPron,SN,NA,NA,NA,Rh(Rh),SP(Rh(Rh)),SP(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,NA,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,Th,NA,SN,NA,NA,NA,NA,NA,Rh(Rh),Th(Rh(Rh)),Th(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,Th,NA,SN,NA,NA,NA,NA,stroke,Rh(Rh),Th(Rh(Rh)),Th(Rh(Rh)),beat
NA,NA,NA,NA,NA,Rh,Rh,Th,NA,SN,SAdj,NA,NA,NA,NA,Rh(Rh),Th(Rh(Rh)),Th(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,NA,NA,NA,NA,stroke,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),semantic
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,NA,NA,NA,NA,stroke,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),semantic
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,NA,NA,NA,NA,stroke,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),semantic
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,NA,NA,NA,NA,stroke,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),semantic
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,NA,NA,NA,NA,stroke,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),semantic
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,NA,NA,NA,NA,NA,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,SPrep,NA,NA,NA,NA,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,SPrep,SN,NA,NA,NA,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),NA
