@RELATION MSCorpus

@ATTRIBUTE attribute_3 {Focalization,NA,foc}
@ATTRIBUTE attribute_4 {B,NA,Perspective}
@ATTRIBUTE attribute_5 {Contrast,Insistence,NA,Repetition,StrongFeelings,detEmphasis}
@ATTRIBUTE attribute_6 {E,Emphasis,NA}
@ATTRIBUTE attribute_7 {NA,NoImage}
@ATTRIBUTE attribute_8 {NA,Rh,S,SP,Th,Them_level1,_,question}
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SV,SPron,NA,stroke,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SV,NA,NA,stroke,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SV,SV,SN,NA,NA,stroke,SP(Rh),SP(Rh),SP(Rh),NA
NA,NA,NA,NA,NA,Rh,SP,NA,NA,SV,SV,SN,NA,NA,stroke,SP(Rh),SP(Rh),SP(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SAdv,NA,NA,NA,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SV,NA,NA,relax,Rh(Rh),Rh(Rh),Rh(Rh),beat
NA,NA,NA,NA,NA,Rh,Rh,NA,NA,SV,SV,SV,SV,SPron,relax,Rh(Rh),Rh(Rh),Rh(Rh),NA
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,SV,SV,SV,conj,relax,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,SV,SV,SV,SPron,relax,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),NA
NA,NA,NA,NA,NA,Rh,Rh,Rh,NA,SV,SV,SV,SV,NA,relax,Rh(Rh),Rh(Rh(Rh)),Rh(Rh(Rh)),NA
NA,NA,NA,NA,NA,_,NA,NA,NA,NA,NA,NA,NA,NA,preparation,_,_,_,NA
NA,NA,NA,NA,NA,Th,Th,NA,NA,SN,NA,NA,NA,NA,stroke,Th(Th),Th(Th),Th(Th),semantic
NA,NA,NA,NA,NA,Th,Th,NA,NA,SN,NA,NA,NA,NA,stroke,Th(Th),Th(Th),Th(Th),semantic
